NAME_LATIN,Year,age
K. MEGALOY XVRIOY,2019.0,56.0
K. MEGALVN KALYBIVN,2019.0,61.0
K. MEJIATVN,2019.0,32.0
K. MELIBOIAS,2019.0,56.0
K. MELIDONIOY_1,2019.0,56.0
K. MELIKHS,2018.0,19.0
K. MELISSOXVRIOY_4,2019.0,54.0
K. MENIDIOY,2019.0,61.0
K. MESA LASIUIOY,2019.0,61.0
K. MESHS_3,2019.0,52.0
K. MESOPOTAMIAS_2,2019.0,12.0
K. MESOROPHS,2019.0,46.0
K. METAMORFVSEVS_5,2019.0,48.0
K. MEUVNHS_1,2018.0,34.0
K. MHLEVN_3,2019.0,49.0
K. MIKROKAMPOY_1,2019.0,30.0
K. MILATOY,2019.0,56.0
K. MISTEGNVN,2018.0,35.0
K. MOYDROY,2019.0,47.0
K. MOYRIVN,2019.0,50.0
K. MYLOTOPOY_1,2018.0,41.0
K. MYLVN_3,2019.0,52.0
K. MYRUIOY,2019.0,56.0
K. MYSTRA,2019.0,50.0
K. NEAPOLEVS_2,2019.0,59.0
K. NEAS AGXIALOY_1,2019.0,47.0
K. NEAS KALLIKRATEIAS,2019.0,46.0
K. NEAS KIOY_1,2019.0,34.0
K. NEAS MADYTOY,2019.0,53.0
K. NEAS MHXANIVNAS,2019.0,38.0
K. NEAS PENTELHS,2019.0,58.0
K. NEAS PERAMOY_1,2019.0,49.0
K. NEAS PERAMOY_2,2019.0,34.0
K. NEAS POTEIDAIAS,2019.0,41.0
K. NEAS SANTAS_1,2019.0,42.0
K. NEAS TRIGLIAS,2019.0,54.0
K. NEMEAS,2018.0,34.0
K. NEOXVRIOY_3,2018.0,60.0
K. NEOXVRIOY_65,2019.0,44.0
K. NEOXVRIOY_73,2019.0,56.0
K. NEOXVROYDAS_1,2019.0,54.0
K. NEOY SOYLIOY,2019.0,43.0
K. NEROKOYROY,2019.0,44.0
K. NESTANHS,2019.0,57.0
K. NEVN KERDYLIVN,2019.0,58.0
K. NEVN PALATIVN_3,2019.0,44.0
K. NEVN STYRVN,2019.0,56.0
K. NHSOY IVANNINVN,2018.0,60.0
